,MINT_SCHEME,AMFI_CODE,AMFI_SCHEME
968,Motilal Oswal Arbitrage Fund Reg (G),153188,Motilal Oswal Arbitrage Fund-Regular Plan-Growth
677,ICICI Pru Nifty 500 Index Fund Reg (G),153162,ICICI Prudential Nifty 500 Index Fund - Growth
1242,SBI Quant Fund Reg (G),153153,SBI Quant Fund- Regular Plan- Growth
840,Kotak Nifty 50 Equal Weight Index Fund Reg (G),153148,Kotak Nifty 50 Equal Weight Index Fund - Regular Plan - Growth
837,Kotak Nifty 100 Equal Weight Index Fund Reg (G),153145,Kotak Nifty 100 Equal Weight Index Fund - Regular Plan - Growth
254,Bank of India Consumption Fund Reg (G),153140,Bank of India Consumption Fund - Regular - Growth
993,Motilal Oswal Nifty Capital Market Index Fund Reg (G),153137,Motilal Oswal Nifty Capital Market Index Fund - Regular Plan - Growth
1297,Tata BSE Select Business Groups Index Fund Reg (G),153134,Tata BSE Select Business Groups Index Fund - Regular Growth
346,DSP Business Cycle Fund Reg (G),153122,DSP Business Cycle Fund - Regular - Growth
864,Kotak Transportation & Logistics Fund Reg (G),153116,Kotak Transportation & Logistics Fund-Regular-Growth
229,Bandhan Nifty 200 Quality 30 Index Fund Reg (G),153113,Bandhan Nifty 200 Quality 30 Index Fund - Regular Plan - Growth
944,Mirae Asset Long Duration Fund Reg (G),153107,Mirae Asset Long Duration Fund - Regular Plan - Growth
466,Franklin India Long Duration Fund Reg (G),153104,Franklin India Long Duration Fund - Growth
486,Groww Multi Cap Fund Reg (G),153100,Groww Multicap Fund - Regular - Growth
550,HDFC Nifty India Digital Index Fund Reg (G),153096,HDFC Nifty India Digital Index Fund - Growth Option - Regular
1180,Samco Multi Asset Allocation Fund Reg (G),153093,Samco Multi Asset Allocation Fund - Regular Plan - Growth
1176,Samco Arbitrage Fund Reg (G),153091,Samco Arbitrage Fund - Regular Plan - Growth
1438,UTI Nifty Midcap 150 Index Fund Reg (G),153088,UTI Nifty Midcap 150 Index Fund - Regular Plan - Growth Option
1437,UTI Nifty Alpha Low-Volatility 30 Index Fund Reg (G),153087,UTI Nifty Alpha Low-Volatility 30 Index Fund - Regular Plan - Growth Option
14,Aditya Birla SL BSE India Infrastructure Index Fund Reg (G),153080,Aditya Birla Sun Life BSE India Infrastructure Index Fund-Regular Growth
1258,Shriram Multi Sector Rotation Fund Reg (G),153077,Shriram Multi Sector Rotation Fund - Regular Plan Growth Option
646,ICICI Pru Equity Minimum Variance Fund Reg (G),153069,ICICI Prudential Equity Minimum Variance Fund - Growth
1316,Tata India Innovation Fund Reg (G),153059,Tata India Innovation Fund- Regular Growth
748,Invesco India Multi Asset Allocation Fund Reg (G),153046,Invesco India Multi Asset Allocation Fund - Growth
447,Franklin India Arbitrage Fund Reg (G),153042,Franklin India Arbitrage Fund - Growth
1000,Motilal Oswal Nifty MidSmall IT and Telecom Index Fund Reg (G),153028,Motilal Oswal Nifty MidSmall IT and Telecom Index Fund-Regular Plan-Growth
997,Motilal Oswal Nifty MidSmall Financial Services Index Fund Reg (G),153026,Motilal Oswal Nifty MidSmall Financial Services Index Fund-Regular Plan-Growth
999,Motilal Oswal Nifty MidSmall India Consumption Index Fund Reg (G),153024,Motilal Oswal Nifty MidSmall India Consumption Index Fund-Regular Plan-Growth
998,Motilal Oswal Nifty MidSmall Healthcare Index Fund Reg (G),153022,Motilal Oswal Nifty MidSmall Healthcare Index Fund-Regular Plan-Growth
1235,SBI Nifty India Consumption Index Fund Reg (G),153012,SBI Nifty India Consumption Index Fund- Regular Plan- Growth
483,Groww Gold E T F FOF Reg (G),153006,Groww Gold ETF FOF - REGULAR - GROWTH
231,Bandhan Nifty 500 Momentum 50 Index Fund Reg (G),153002,Bandhan Nifty 500 Momentum 50 Index Fund Regular Plan-Growth
303,Baroda BNP Paribas Nifty Midcap 150 Index Fund Reg (G),153001,Baroda BNP Paribas Nifty Midcap 150 Index Fund - Regular Plan - Growth Option
232,Bandhan Nifty 500 Value 50 Index Fund Reg (G),152991,Bandhan Nifty 500 Value 50 Index Fund Regular Plan - Growth
438,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund Reg (G),152988,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Regular - Growth
956,Mirae Asset Nifty LargeMidcap 250 Index Fund Reg (G),152978,Mirae Asset Nifty LargeMidcap 250 Index Fund - Regular Plan - Growth
951,Mirae Asset Nifty 50 Index Fund Reg (G),152974,Mirae Asset Nifty 50 Index Fund - Regular Plan - Growth
961,Mirae Asset Nifty Total Market Index Fund Reg (G),152970,Mirae Asset Nifty Total Market Index Fund - Regular Plan - Growth
974,Motilal Oswal Digital India Fund Reg (G),152966,Motilal Oswal Digital India Fund - Regular Plan- Growth
1463,WhiteOak Capital ESG Best-In-Class Strategy Fund Reg (G),152963,WhiteOak Capital ESG Best-In-Class Strategy Fund Regular Plan Growth
158,Axis Nifty500 Value 50 Index Fund Reg (G),152950,Axis Nifty500 Value 50 Index Fund - Regular Plan - Growth Option
692,ICICI Pru Nifty200 Value 30 Index Fund Reg (G),152934,ICICI Prudential Nifty200 Value 30 Index Fund - Growth
306,Baroda BNP Paribas Nifty200 Momentum 30 Index Fund Reg (G),152930,Baroda BNP Paribas Nifty200 Momentum 30 Index Fund - Regular Plan - Growth Option
488,Groww Nifty India Defence E T F FoF Reg (G),152927,Groww Nifty India Defence ETF FOF - Regular - Growth
886,LIC MF Manufacturing Fund Reg (G),152922,LIC MF Manufacturing Fund-Regular Plan-Growth
1461,WhiteOak Capital Digital Bharat Fund Reg (G),152914,WhiteOak Capital Digital Bharat Fund Regular Plan Growth
831,Kotak MNC Fund Reg (G),152913,Kotak MNC Fund-Regular Plan- Growth
1233,SBI Nifty 500 Index Fund Reg (G),152906,SBI Nifty 500 Index Fund- Regular Plan- Growth
551,HDFC Nifty LargeMidcap 250 Index Fund Reg (G),152890,HDFC NIFTY LargeMidcap 250 Index Fund - Growth Option
195,Bandhan Business Cycle Fund Reg (G),152877,Bandhan Business Cycle Fund - Regular Plan - Growth
991,Motilal Oswal Nifty 500 Momentum 50 Index Reg (G),152876,Motilal Oswal Nifty 500 Momentum 50 Index Fund-Regular Plan-Growth
845,Kotak Nifty India Tourism Index Fund Reg (G),152872,Kotak Nifty India Tourism Index Fund-Regular plan-Growth
1441,UTI Nifty Private Bank Index Fund Reg (G),152865,UTI Nifty Private Bank Index Fund - Regular Plan - Growth Option
756,Invesco India Technology Fund Reg (G),152862,Invesco India Technology Fund - Regular - Growth
1445,UTI Nifty200 Quality 30 Index Fund Reg (G),152858,UTI Nifty 200 Quality 30 Index Fund - Regular Plan - Growth Option
236,Bandhan Nifty Midcap 150 Index Fund Reg (G),152856,Bandhan Nifty Midcap 150 Index Fund-Regular Plan-Growth
467,Franklin India Medium to Long Duration Fund Reg (G),152853,Franklin India Medium to Long Duration Fund - Growth
1457,WhiteOak Capital Arbitrage Fund Reg (G),152850,WhiteOak Capital Arbitrage Fund Regular Plan Growth
1181,Samco Multi Cap Fund Reg (G),152848,Samco Multi Cap Fund - Regular Plan - Growth
194,Bandhan BSE Healthcare Index Fund Reg (G),152844,Bandhan BSE Healthcare Index Fund Direct Plan - Growth
601,HSBC India Export Opportunities Fund Reg (G),152830,HSBC India Export Opportunities Fund - Regular Growth
479,Franklin India Ultra Short Duration Fund Reg (G),152828,Franklin India Ultra Short Duration Fund - Growth
378,DSP Nifty Top 10 Equal Weight Index Fund Reg (G),152813,DSP Nifty Top 10 Equal Weight Index Fund - Regular - Growth
113,Axis Consumption Fund Reg (G),152804,Axis Consumption Fund Regular Plan - Growth
73,Aditya Birla SL Nifty India Defence Index Fund Reg (G),152800,Aditya Birla Sun Life Nifty India Defence Index Fund-Regular-Growth
972,Motilal Oswal Business Cycle Fund Reg (G),152794,Motilal Oswal Business Cycle Fund-Regular Plan-Growth
234,Bandhan Nifty Bank Index Fund Reg (G),152792,Bandhan Nifty Bank Index Fund - Regular Plan - Growth
252,Bank of India Business Cycle Fund Reg (G),152790,Bank of India Business Cycle Fund - Regular Plan - Growth
560,HDFC Nifty500 Multicap 50:25:25 Index Fund Reg (G),152779,HDFC NIFTY500 Multicap 50:25:25 index Fund - Regular Plan
1212,SBI Innovative Opportunities Fund Reg (G),152774,SBI Innovative Opportunities Fund - Regular Plan - Growth
487,Groww Nifty EV & New Age Automotive E T F FOF Reg (G),152773,Groww Nifty EV & New Age Automotive ETF FOF - Regular Plan - Growth
982,Motilal Oswal Manufacturing Fund Reg (G),152763,Motilal Owsal Manufacturing Fund - Regular Plan - Growth
744,Invesco India Manufacturing Fund Reg (G),152758,Invesco India Manufacturing Fund - Regular - Growth
798,Kotak BSE PSU Index Fund Reg (G),152752,Kotak BSE PSU Index Fund - Regular Plan - Growth
1020,Navi Nifty 500 Multicap 50:25:25 Index Fund Reg (G),152750,NAVI NIFTY 500 MULTICAP 50-25-25 REGULAR PLAN
1333,Tata Nifty India Tourism Index Fund Reg (G),152746,Tata Nifty India Tourism Index Fund - Regular - Growth
470,Franklin India Multi Cap Fund Reg (G),152738,Franklin India Multi Cap Fund - Growth
1250,SBI Silver E T F FoF Reg (G),152733,SBI Silver ETF Fund of Fund- Regular Plan - Growth
150,Axis Nifty 500 Index Fund Reg (G),152730,Axis Nifty 500 Index Fund - Regular Plan - Growth Option
405,Edelweiss Business Cycle Fund Reg (G),152724,Edelweiss Business Cycle Fund - Regular Plan - Growth
950,Mirae Asset Nifty 200 Alpha 30 E T F FoF Reg Growth,152720,Mirae Asset Nifty200 Alpha 30 ETF Fund of Fund - Regular Plan - Growth
238,Bandhan Nifty Total Market Index Fund Reg (G),152717,Bandhan Nifty Total Market Index Fund - Regular Plan - Growth
953,Mirae Asset Nifty EV and New Age Automotive E T F,152715,Mirae Asset Nifty EV and New Age Automotive ETF
558,HDFC NIFTY100 Low Volatility 30 Index Fund Reg (G),152714,HDFC NIFTY100 Low Volatility 30 Index Fund - Regular Plan
994,Motilal Oswal Nifty India Defence Index Fund Reg (G),152711,Motilal Oswal Nifty India Defence Index Fund Regular Plan Growth
1003,Motilal Oswal Quant Fund Reg (G),152692,Motilal Oswal Quant Fund - Regular - Growth
85,Aditya Birla SL Quant Fund Reg (G),152686,Aditya Birla Sun Life Quant Fund - Regular Growth
1264,Sundaram Business Cycle Fund Reg (G),152678,Sundaram Business Cycle Fund Regular Plan Growth
913,Mahindra Manulife Manufacturing Fund Reg (G),152671,Mahindra Manulife Manufacturing Fund - Regular Plan - Growth
