SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
360 ONE Balanced Hybrid Fund Reg (G),360 ONE Mutual Fund,862,25-09-2023,0.2,0.44,0.4,0.27,2.52,2.4,6.05,12.71,,,,,,,,12.57,0,Hybrid: Balanced Hybrid,12.8956,,,,,,,Mayur Patel,3.46,2.87,6.74,1000,1000,23.91,10.46,7.29,4.99,28.31,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months",41.66,58.34,0,0,0,,1.95,17.17,,1.8,37.17,,2.2,,
360 One Dynamic Bond Fund Reg (G),360 ONE Mutual Fund,639,24-06-2013,0.06,-0.1,0.39,0.41,1.85,2.7,8.91,9.32,8.35,6.88,7.23,7.03,,,,7,5,Debt: Dynamic Bond,23.2255,1.07,1.06,8.06,1.92,0.93,1.36,Milan Mody,7.03,5.26,7.19,0,1000,0,0,0,0,0,0,0,90.17,0,0,9.83,,0.52,51.96,3.97,10.54,20.4,,3.3,0.9079,27.0718
360 One ELSS Tax Saver Nifty 50 Index Fund Reg (G),360 ONE Mutual Fund,92,28-12-2022,0.4,1.7,1.16,1.27,5.68,4.68,11.3,15.53,,,,,,,,13.93,0,Equity: ELSS,14.5782,,,,,,,Ashish Ongari,,,,1000,1000,98.54,0,0.46,3.6,24.11,0,99,1,0,0,0,,0.52,,,,,,1,,
360 One Flexi Cap Fund Reg (G),360 ONE Mutual Fund,2106,30-06-2023,0.46,0.86,0.85,0.7,4.86,3.95,5.44,20.18,,,,,,,,20.16,0,Equity: Flexi Cap,15.5014,,,,,,,Mayur Patel,,,,1000,1000,53.7,23.38,18.12,4.97,28.42,1% for redemption within 365 days,95.2,4.8,0,0,0,,1.99,,,,,,4.8,,
360 One Focused Fund (G),360 ONE Mutual Fund,7448,30-10-2014,0.39,0.96,0.87,0.95,4.96,3.35,6.27,14.92,15.7,18.41,19.27,16.4,,,,15.24,4,Equity: Focused,48.0142,0.76,0.87,15.46,12.02,0.76,1.2,Mayur Patel,,,,0,1000,68.97,11.77,14.74,4.59,25.02,1% for redemption within 365 days,95.48,4.52,0,0,0,,1.79,,,,,,4.52,13.3067,44.4444
360 One Liquid Fund Reg (G),360 ONE Mutual Fund,725,13-11-2013,0.01,0.11,0.23,0.47,1.4,2.9,6.43,6.82,6.82,5.53,5.35,5.77,,,,6.17,2,Debt: Liquid,2053.1629,0.86,0.29,6.64,0.16,2.28,3.12,Milan Mody,0.13,0.13,5.91,0,1000,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.32,20.62,,,78.41,,0.97,0.0248,0.7134
360 ONE Multi Asset Allocation Fund (G),360 ONE Mutual Fund,204,20-08-2025,-0.62,0.69,1.2,-1.24,10.49,,,,,,,,,,,39.22,0,Hybrid: Multi-Asset,11.0486,,,,,,,Mayur Patel,7.23,4.71,6.62,1000,1000,17.42,2.71,2.97,5.16,26.05,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months",23.1,47.28,15.18,0,14.44,,1.99,21.28,1.14,1.57,9.07,9.94,4.28,,
360 One Quant Fund Reg (G),360 ONE Mutual Fund,854,29-11-2021,0.57,0.78,1.34,0.82,4.85,3.55,10.04,20.98,23.48,,,,,,,18.68,0,Equity: Thematic,19.7647,4.71,1.15,22.09,15.84,1,1.41,Ashish Ongari,,,,1000,1000,47.99,50.5,0,5.59,30.63,1% for redemption within 365 days,98.49,1.51,0,0,0,,2.08,,,,,,1.51,,
Aditya Birla SL Aggressive Hybrid Omni FOF Reg (G),Aditya Birla Sun Life Mutual Fund,38,09-05-2011,0.42,1.15,0.88,1.3,4.33,4.9,11.2,15.08,14.59,13.63,12.49,11.13,,,,10.65,0,Others: FoFs Domestic,43.7588,2.25,0.66,13.91,7.38,1.04,1.51,Vinod Bhat,,,,500,100,45.55,19.53,9.71,0,0,1% for redemption within 365 days,74.78,25.22,0,0,0,,1.18,,,,,24.56,0.66,7.9565,44.6281
Aditya Birla SL Arbitrage Fund Reg (G),Aditya Birla Sun Life Mutual Fund,22619,24-07-2009,0.03,0.19,0.35,0.44,1.35,2.93,6.4,6.98,7.04,5.72,5.57,5.72,6.5,,,6.3,3,Hybrid: Arbitrage,27.1225,0.82,0.18,6.78,0.38,1.34,2.02,Krina Mehta,0.79,0.59,6.48,1000,100,0,0,0,2.83,21.68,0.25% for redemption within 15 days,0,100,0,0,0,,1.03,,,0.63,2.21,16.4,1.65,0.5496,31.7139
