Scheme_Code,Scheme_Name,Fund_House,Scheme_Type,Scheme_Category,Status,Portfolio_Ind,URL,Expense,AUM,CrisilRank,FundManagers,Exit_Load,Age,3M Ret,1Y Ret,3Y Ret,5Y Ret,Ret Inception,Sharpe Ratio,Sortino Ratio,Info Ratio,Beta,Alpha,R-Squared,Pos_Year%,Year,Inception_Date,Volatility,Rel_MaxDD,Roll_Ret_1Y,Roll_Ret_3Y,Roll_Ret_Inception,Prob_10Pct,Sharpe_1Y,Sortino_1Y,Volatility_1Y,NumStocks,Top5_Pct,Top10_Pct,Top3_Sector,Equity_Holding,F&O_Holding,Foreign_Holding,NumDebts,Modified_Duration,YTM,LCap_Pct,MCap_Pct,SCap_Pct,GT_1PCT,GT_3PCT,GT_5PCT,LT_NEG_1PCT,LT_NEG_3PCT,LT_NEG_5PCT,POS_PCT,GT_NIFTY_UP,GT_NIFTY_DOWN,NIFTY_CORR,PCT_GT_NIFTY
108273,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/aditya-birla-sun-life-banking-psu-debt-fund-regular-plan-growth/MBS351,0.71%,8283.88,Not Rated,Kaustubh Gupta|Harshil Survankar,Data not available.,15.59,5.24,6.54,4.56,6.99,8.33,-1.31,-1.57,-0.04,0.0,0.05,0.0,100.00,2008,2008-05-05,0.9,0.07828145518426886,5.43,5.33,8.46,0.1506716442067435,1.12,1.64,0.67,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,72.08,3.73,98.46,0.131411343768017,46.89
117446,Axis Banking & PSU Debt Fund,Axis,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/axis-banking-psu-debt-fund-growth/MAA165,0.63%,14425.41,3 Stars,Hardik Shah|Aditya Pagaria,Data not available.,11.49,4.92,6.19,4.41,6.78,7.99,-1.92,-2.44,-0.04,0.0,0.04,0.01,100.00,2012,2012-06-12,0.69,0.03589567958130213,5.22,4.98,8.0,0.07070125374330649,0.52,0.76,0.77,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,73.62,3.47,99.08,0.13893531269909257,47.03
121280,BANDHAN Banking & PSU Debt Fund,Bandhan,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/bandhan-banking-psu-debt-fund-regular-plan-growth/MAG839,0.62%,14657.18,3 Stars,Suyash Choudhary|Gautam Kaul,Data not available.,10.75,5.16,6.57,4.42,7.23,7.9,-1.73,-2.17,-0.05,0.0,0.04,0.0,100.00,2013,2013-03-08,0.75,0.05450149138181642,5.31,5.17,7.91,0.09573377721109866,1.1,1.69,0.76,,,,,,,,,,,,,,0.07,0.07,0.0,0.0,0.0,0.0,72.71,3.6,98.31,0.12373480878408617,46.75
148625,Baroda BNP Paribas Banking and PSU Bond Fund,Baroda BNP Paribas,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/baroda-bnp-paribas-banking-psu-bond-fund-plan-a-growth/MBO264,0.79%,29.68,2 Stars,Prashant Pimple|Mayank Prakash|Shreekiran Rao,Data not available.,2.96,4.2,5.92,,,3.83,,,-0.05,0.0,0.04,0.0,100.00,2020,2020-12-18,,0.14298170908699018,4.34,,,,0.18,0.25,0.79,,,,,,,,,,,,,,0.0,0.0,0.0,0.14,0.0,0.0,66.29,2.86,98.79,0.05887042378356361,47.27
150503,Canara Robeco Banking and PSU Debt Fund,Canara Robeco,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/canara-robeco-banking-and-psu-debt-fund-regular-plan-growth/MCA331,0.71%,424.99,Not Rated,Avnish Jain,Data not available.,1.28,4.6,5.92,,,5.65,,,-0.03,0.01,0.05,0.03,100.00,2022,2022-08-24,,0.07091836780575761,,,,,0.25,0.34,0.67,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,73.55,4.68,96.4,0.2619897167442395,45.81
124172,DSP Banking & PSU Debt Fund,DSP,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/dsp-banking-psu-debt-fund-regular-plan-growth/MDS863,0.57%,2561.94,5 Stars,Karan Mundhra|Shantanu Godambe,Data not available.,10.22,4.6,6.28,4.15,6.75,7.94,-1.74,-2.14,-0.04,0.0,0.04,0.0,100.00,2013,2013-09-16,0.91,0.06486194061591326,5.19,4.92,7.87,0.09564907622444296,0.54,0.74,0.82,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,70.05,3.47,98.31,0.14740490637130177,46.68
140283,Edelweiss Banking and PSU Debt Fund,Edelweiss,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/edelweiss-banking-and-psu-debt-fund-regular-plan-growth/MJP198,0.7%,336.54,3 Stars,Dhawal Dalal|Rahul Hemchand Dedhia,Data not available.,7.02,4.08,6.02,4.39,7.83,7.47,-0.57,-0.68,-0.04,0.01,0.04,0.01,100.00,2016,2016-11-28,2.3,0.17064916314038148,5.53,5.49,7.75,0.2281258512893103,0.22,0.3,1.23,,,,,,,,,,,,,,0.21,0.07,0.0,0.28,0.0,0.0,64.8,6.68,96.77,0.09880098451385466,47.73
129006,Franklin India Banking & PSU Debt Fund,Franklin,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-banking-psu-debt-fund-regular-plan-growth/MTE390,0.49%,650.38,4 Stars,Mayank Bukrediwala|Sachin Padwal-Desai|Umesh Sharma,Data not available.,9.62,5.48,6.52,4.45,6.9,7.77,-1.28,-1.59,-0.04,0.01,0.05,0.01,100.00,2014,2014-04-25,0.97,0.05689982225091594,5.22,4.83,7.6,0.0996720546598362,1.22,1.91,0.66,,,,,,,,,,,,,,0.07,0.07,0.0,0.07,0.0,0.0,68.79,3.98,98.0,0.1418743308425245,46.82
128628,HDFC Banking and PSU Debt Fund,HDFC,Debt Scheme,Banking and PSU Fund,N,Y,https://www.moneycontrol.com/mutual-funds/nav/hdfc-banking-psu-debt-fund-regular-plan-growth/MHD2059,0.81%,6484.88,4 Stars,Anil Bamboli,Data not available.,9.7,5.04,6.55,4.5,6.93,7.95,-1.35,-1.59,-0.04,0.0,0.05,0.0,100.00,2014,2014-03-26,0.92,0.0662835653362961,5.34,5.25,7.91,0.10810176658079029,1.16,1.7,0.63,,,,,0.0,0.0,0.0,77,2.42,7.69,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,71.1,3.86,98.0,0.11574917079503472,46.75
151104,HSBC Banking and PSU Debt Fund,HSBC,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/hsbc-banking-and-psu-debt-fund-growth/MFF037,0.61%,4494.23,1 Star,Mahesh A. Chhabria|Jalpan Shah,Data not available.,1.02,5.28,6.1,,,6.34,,,-0.01,0.0,0.06,0.0,100.00,2022,2022-11-28,,0.022569038853847725,,,,,0.39,0.58,0.86,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,72.06,5.84,97.27,0.09615996758801917,46.56
112342,ICICI Prudential Banking and PSU Debt Fund`,ICICI Prudential,Debt Scheme,Banking and PSU Fund,N,Y,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-banking-psu-debt-fund-growth/MPI726,0.76%,8301.76,5 Stars,Rohit Lakhotia|Chandni Gupta,Data not available.,13.93,5.8,7.08,5.16,7.03,8.31,-0.57,-0.73,-0.04,0.0,0.05,0.0,100.00,2010,2010-01-04,1.0,0.04616473390020853,6.18,5.64,8.47,0.17247128941430834,1.91,3.11,0.66,,,,,0.0,0.0,0.0,73,2.13,7.86,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,69.21,4.24,98.46,0.14713306666337242,47.17
118232,Invesco India Banking & PSU Debt Fund,Invesco,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-banking-psu-debt-fund-growth/MLI539,0.7%,118.39,1 Star,Krishna Cheemalapati|Vikas Garg,Data not available.,10.93,4.96,6.07,3.35,5.86,6.78,-1.16,-1.33,-0.04,0.0,0.03,0.0,100.00,2012,2012-12-31,2.04,0.17714967647136254,4.22,4.0,6.78,0.08440023257152784,0.32,0.45,0.92,,,,,,,,,,,,,,0.14,0.07,0.0,0.21,0.0,0.0,69.0,4.24,97.24,0.09908318883843262,46.61
148535,ITI Banking & PSU Debt Fund,ITI,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/uti-banking-psu-debt-fund-growth/MUT1087,0.57%,959.55,4 Stars,Anurag Mittal,Data not available.,3.12,4.84,6.0,4.56,,4.95,-1.8,-2.28,-0.03,0.0,0.05,0.0,100.00,2020,2020-10-23,0.64,0.057333038699720146,5.37,,,,0.63,0.9,0.43,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,78.72,3.16,99.41,0.09689606789512051,46.68
123690,Kotak Banking and PSU Debt,Kotak,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/kotak-banking-and-psu-debt-fund-growth/MKM001,0.81%,6066.45,2 Stars,Deepak Agrawal|Abhishek Bisen|Palha Khanna,Data not available.,10.32,5.76,6.4,4.66,7.15,8.24,-0.89,-1.09,-0.04,0.01,0.05,0.0,100.00,2013,2013-08-14,1.19,0.08609969539345387,5.53,5.35,8.03,0.14990472451553005,0.67,0.97,0.96,,,,,,,,,,,,,,0.14,0.0,0.0,0.07,0.0,0.0,68.16,4.11,97.85,0.1126247288973054,46.82
105823,LIC MF Banking & PSU Debt Fund,LIC,Debt Scheme,Banking and PSU Fund,N,,https://www.moneycontrol.com/mutual-funds/nav/lic-mf-banking-psu-debt-fund-growth/MJB051,0.78%,1106.92,3 Stars,Pratik Shroff|Marzban Irani,Data not available.,16.53,4.84,6.13,3.88,6.15,7.39,-2.45,-2.97,-0.04,0.0,0.04,0.01,100.00,2007,2007-05-31,0.74,0.05493921544673458,4.88,4.27,7.4,0.13428039482640397,0.52,0.75,0.76,,,,,,,,,,,,,,0.07,0.0,0.0,0.0,0.0,0.0,73.06,3.86,98.77,0.1533506413952935,47.1
